trial,min_prof_thr,max_down_prop,gain_tightfact,tau_time,tau_dur,thresh_choice,reset_peak,rsi_min_thresh,rsi_max_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl
15,0.00198,0.00454,0.02521,5.44795,6.49711,median_nonzero,0,2,83,8.13191,0.08909,2.08453,0.00695,0.0061,8.06369,1607439004240.826
56,0.00194,0.00329,0.03291,5.45099,6.46926,median_nonzero,0,1,82,8.02438,0.09276,0.73845,0.00664,0.00518,0.58601,1604350749463.5693
129,0.00137,0.00311,0.03344,5.52355,6.40244,median_nonzero,0,1,84,8.17452,0.08137,-2.32247,0.00691,0.00601,6.61524,1593884327108.9407
16,0.00195,0.00393,0.02651,5.49302,6.32885,median_nonzero,0,2,85,8.02664,0.08444,2.14556,0.00753,0.00607,7.81889,1590043789588.238
107,0.00148,0.00305,0.03085,5.53348,6.38798,median_nonzero,0,1,83,8.19027,0.08046,-1.92149,0.00605,0.00565,2.78111,1588224347295.746
3,0.00126,0.00311,0.03183,5.44816,6.54912,median_nonzero,0,2,80,8.14216,0.08667,0.45172,0.00716,0.00687,5.22262,1583786370495.9146
8,0.00135,0.00392,0.03016,5.47005,6.35022,median_nonzero,0,3,81,7.83603,0.09347,-4.44442,0.00782,0.00664,6.18717,1578163358506.7993
47,0.00199,0.00362,0.02612,5.5192,6.52994,median_nonzero,0,1,81,7.95629,0.08872,-1.05787,0.00632,0.00523,1.02322,1573983762386.2944
46,0.00193,0.00355,0.02609,5.54693,6.5021,median_nonzero,0,1,82,8.07172,0.08374,-2.80881,0.00645,0.0051,0.12665,1565435905431.2124
19,0.00188,0.00433,0.02803,5.46882,6.3768,median_nonzero,0,2,82,8.16078,0.09863,3.43293,0.00711,0.00546,8.86738,1555787591587.7837
27,0.00165,0.0044,0.03026,5.50093,6.47589,median_nonzero,0,2,85,8.11036,0.08773,1.14004,0.00719,0.00601,6.3255,1553737481387.3916
5,0.00177,0.00491,0.02603,5.51768,6.42119,median_nonzero,0,2,86,7.90999,0.08792,-2.23491,0.00776,0.00633,7.52034,1550225040495.45
1,0.00122,0.00341,0.03432,5.53547,6.4317,median_nonzero,0,1,86,7.90379,0.09824,2.62429,0.00623,0.00532,2.54623,1537385770479.1064
7,0.00122,0.0036,0.03074,5.55304,6.36002,median_nonzero,0,2,82,7.94787,0.08429,-2.55104,0.00643,0.005,4.81157,1536014588764.5483
4,0.00186,0.00355,0.02939,5.53093,6.39888,median_nonzero,0,3,80,7.80489,0.0806,0.51455,0.00658,0.00693,1.49507,1522448571649.953
137,0.00134,0.00309,0.02668,5.5642,6.39182,median_nonzero,0,1,84,7.86123,0.0944,-3.43885,0.00621,0.00624,7.04692,1517261973056.785
