trial,col_signal,sign_thresh,reset_peak,rsi_min_thresh,rsi_max_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,sess_start,avg_daily_pnl
253,ema_9,ema_21,1,98,116,25.87558,-7.79623,0.3866,0.18631,19.60828,13:30:00,47.27216
219,ema_9,ema_21,1,98,113,19.68969,-6.7567,0.38974,0.08033,17.84378,13:30:00,47.21338
251,ema_9,ema_21,1,98,115,28.74205,-8.31306,0.39035,0.15864,16.78958,13:30:00,47.19854
238,ema_9,ema_21,1,98,113,21.991,-8.23516,0.35416,0.11312,14.96643,13:30:00,47.08432
278,ema_9,ema_21,1,98,121,20.02747,-8.37366,0.2958,0.04355,16.82894,13:30:00,46.88647
228,ema_9,ema_21,1,98,104,25.51456,-6.5722,0.41518,0.11112,14.37903,13:30:00,46.49763
256,ema_9,ema_21,1,98,115,27.95278,-8.82101,0.33852,0.12285,16.14139,13:30:00,46.47844
212,ema_9,ema_21,1,98,104,19.79587,-6.28609,0.39468,0.0672,20.35231,13:30:00,46.43509
122,ema_9,ema_21,1,98,289,23.30671,-7.1165,0.40845,0.51079,42.0437,13:30:00,46.03266
232,ema_9,ema_21,1,98,103,24.26987,-7.92281,0.38993,0.12999,15.38734,13:30:00,46.02949
231,ema_9,ema_21,1,98,103,24.20674,-8.03225,0.39343,0.13122,15.51968,13:30:00,45.9384
266,ema_9,ema_21,1,98,104,27.8792,-8.16667,0.33986,0.092,12.54586,13:30:00,45.82702
221,ema_9,ema_21,1,98,112,20.97254,-6.67284,0.40397,0.11362,17.94883,13:30:00,45.67199
294,ema_9,ema_21,1,98,113,24.0536,1.50981,0.36821,0.06875,10.67374,13:30:00,45.24504
194,ema_9,ema_21,1,99,114,15.80758,-6.39265,0.41005,0.23965,30.56936,13:30:00,44.80428
192,ema_9,ema_21,1,99,112,18.0087,-6.5538,0.4181,0.24041,31.31183,13:30:00,44.79142
193,ema_9,ema_21,1,99,121,17.80167,-6.42502,0.35808,0.23119,31.09384,13:30:00,44.61466
222,ema_9,ema_21,1,98,113,22.38289,-6.4154,0.45729,0.11013,17.89819,13:30:00,44.5967
241,ema_9,ema_21,1,98,106,21.30413,-8.2428,0.4051,0.13704,16.16486,13:30:00,44.40132
121,ema_9,ema_21,1,99,290,23.01329,-7.05682,0.42229,0.50186,42.58164,13:30:00,44.32454
209,ema_9,ema_21,1,98,104,20.97508,-5.78084,0.45784,0.07307,21.39996,13:30:00,43.99677
208,ema_9,ema_21,1,98,105,21.6867,-6.75277,0.45424,0.0804,21.9705,13:30:00,43.92685
119,ema_9,ema_21,1,99,282,23.34569,-6.9649,0.39297,0.49711,39.6493,13:30:00,43.5242
154,ema_9,ema_21,1,99,296,15.24452,-6.43141,0.46354,0.25204,31.97108,13:30:00,41.43089
155,ema_9,ema_21,1,99,286,15.21378,-6.45895,0.43791,0.25021,29.76237,13:30:00,40.62237
173,ema_9,ema_21,1,99,105,18.4951,-5.67455,0.43806,0.32426,31.13949,13:30:00,40.46307
215,ema_9,ema_21,1,98,110,19.98947,-5.94388,0.48579,0.05199,22.32842,13:30:00,40.30494
161,ema_9,ema_21,1,99,286,14.76235,-6.08491,0.46222,0.29142,28.97591,13:30:00,39.82984
178,ema_9,ema_21,1,99,112,17.7384,-6.77612,0.40402,0.31217,30.70807,13:30:00,39.498
162,ema_9,ema_21,1,99,285,14.27559,-6.01411,0.43463,0.28232,34.57172,13:30:00,39.28664
293,ema_9,ema_21,1,97,126,19.27891,0.47244,0.32152,0.17807,19.81142,13:30:00,39.24521
175,ema_9,ema_21,1,99,115,18.80348,-5.48476,0.40588,0.3207,31.71076,13:30:00,39.20451
163,ema_9,ema_21,1,99,145,14.96757,-7.15616,0.43503,0.27249,25.82269,13:30:00,38.66086
274,ema_9,ema_21,1,97,124,28.5084,-7.72136,0.25061,0.18876,23.50855,13:30:00,38.46111
248,ema_9,ema_21,1,97,109,24.46954,-8.57889,0.33754,0.14624,12.78556,13:30:00,38.37331
174,ema_9,ema_21,1,99,124,18.59958,-5.50821,0.41627,0.33093,32.57339,13:30:00,38.3359
152,ema_9,ema_21,1,99,293,13.90602,-7.02235,0.42864,0.28797,34.77467,13:30:00,38.11726
317,ema_9,ema_21,1,99,195,24.16565,6.7164,0.18251,0.00951,71.0796,13:30:00,37.51191
291,ema_9,ema_21,1,98,121,21.52583,0.71035,0.75043,0.15469,21.97408,13:30:00,36.94344
324,ema_9,ema_21,1,97,170,19.64993,5.66129,0.16668,0.06156,73.36578,13:30:00,36.92
134,ema_9,ema_21,1,98,293,15.58487,-6.08169,0.42983,0.28088,36.92272,13:30:00,36.69266
