,open,high,low,close,volume,ask,bid,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,signal_raw,signal_norm,signal_scaled,signal_smooth,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2024-12-31 19:07:00,190.03,190.07,189.98,190.05,22572.0,190.107,189.993,190.03,190.07,189.98,190.05,22572.0,190.107,189.993,0.24140135406439162,0.2740432043529798,0.19699618568752617,0.2982218856493765,0,1,-191.322,-1.328,Hold,0,-1.328,-1.734,0.4059999999999999
2024-12-31 19:08:00,190.08,190.16,190.06,190.1258,23448.0,190.1828,190.0688,190.08,190.16,190.06,190.1258,23448.0,190.1828,190.0688,0.177479971712802,0.201478489402669,0.14483297990957417,0.29792800150902204,0,1,-191.322,-1.253,Hold,0,-1.253,-1.659,0.40600000000000014
2024-12-31 19:09:00,190.135,190.16,190.1,190.14,12603.0,190.197,190.083,190.135,190.16,190.1,190.14,12603.0,190.197,190.083,0.16913236462807488,0.19200213413099118,0.1380208940300941,0.29546552986034663,0,1,-191.322,-1.238,Hold,0,-1.238,-1.644,0.4059999999999999
2024-12-31 19:10:00,190.12,190.32,190.12,190.22,24421.0,190.2771,190.1629,190.12,190.32,190.12,190.22,24421.0,190.2771,190.1629,0.11767856132337698,0.13359084150002212,0.09603188767415637,0.2933167777619873,0,1,-191.322,-1.159,Hold,0,-1.159,-1.565,0.4059999999999999
2024-12-31 19:11:00,190.24,190.35,190.22,190.24,23576.0,190.2971,190.1829,190.24,190.35,190.22,190.24,23576.0,190.2971,190.1829,0.10512749117040684,0.11934263855969596,0.08578955512380888,0.2927683148638087,0,1,-191.322,-1.139,Hold,0,-1.139,-1.545,0.4059999999999999
2024-12-31 19:12:00,190.27,190.3099,190.2161,190.28,20023.0,190.3371,190.2229,190.27,190.3099,190.2161,190.28,20023.0,190.3371,190.2229,0.07924083368460094,0.08995563451867461,0.06466468279379312,0.28860313838303125,0,1,-191.322,-1.099,Hold,0,-1.099,-1.505,0.4059999999999999
2024-12-31 19:13:00,190.2501,190.34,190.22,190.265,23114.0,190.3221,190.2079,190.2501,190.34,190.22,190.265,23114.0,190.3221,190.2079,0.08959278376841595,0.10170735638977088,0.07311241784831672,0.2820121595923762,0,1,-191.322,-1.114,Hold,0,-1.114,-1.52,0.4059999999999999
2024-12-31 19:14:00,190.27,190.35,190.24,190.3,13919.0,190.3571,190.2429,190.27,190.35,190.24,190.3,13919.0,190.3571,190.2429,0.06669768108584365,0.07571641972978421,0.05442881138359107,0.2757207930281664,0,1,-191.322,-1.079,Hold,0,-1.079,-1.485,0.40600000000000014
2024-12-31 19:15:00,190.275,190.31,190.2,190.22,16460.0,190.2771,190.1629,190.275,190.31,190.2,190.22,16460.0,190.2771,190.1629,0.12065760828641965,0.13697270975355505,0.09846294648481604,0.27221768325649365,0,1,-191.322,-1.159,Hold,0,-1.159,-1.565,0.4059999999999999
2024-12-31 19:16:00,190.23,190.26,190.15,190.16,17778.0,190.217,190.103,190.23,190.26,190.15,190.16,17778.0,190.217,190.103,0.16168320941973435,0.1835457177578179,0.13194199207726567,0.26819629047547383,0,1,-191.322,-1.218,Hold,0,-1.218,-1.624,0.40600000000000014
2024-12-31 19:17:00,190.17,190.21,190.07,190.09,28534.0,190.147,190.033,190.17,190.21,190.07,190.09,28534.0,190.147,190.033,0.2098876310944326,0.23826825330827245,0.17127933233367398,0.2662287555348256,0,1,-191.322,-1.288,Hold,0,-1.288,-1.695,0.40700000000000003
2024-12-31 19:18:00,190.05,190.12,189.99,189.9978,29257.0,190.0548,189.9408,190.05,190.12,189.99,189.9978,29257.0,190.0548,189.9408,0.27367724588148074,0.310683383324577,0.22333500885723295,0.2633003781076024,0,1,-191.322,-1.381,Hold,0,-1.381,-1.787,0.4059999999999999
2024-12-31 19:19:00,189.99,190.02,189.95,189.9789,22104.0,190.0359,189.9219,189.99,190.02,189.95,189.9789,22104.0,190.0359,189.9219,0.28797403941932004,0.3269133631781174,0.23500194339217825,0.2612456039637433,0,1,-191.322,-1.4,Hold,0,-1.4,-1.806,0.40600000000000014
