,open,high,low,close,volume,bid,ask,trade_action,StrategyEarning,EarningDiff,signal_smooth,pred_signal,pred_action,Position,Cash,NetValue,Action,TradedAmount,BuyHoldEarning
2025-06-18 17:04:00,175.5,175.61,175.33,175.345,92634.0,175.2924,175.3976,0,0.095,1.026,0.7381196138345752,0.2982083,0,1,-175.198,0.095,Hold,0,-0.931
2025-06-18 17:05:00,175.345,175.39,175.15,175.24,68522.0,175.1874,175.2926,0,-0.01,1.026,0.7409031532119876,0.3091454,0,1,-175.198,-0.01,Hold,0,-1.036
2025-06-18 17:06:00,175.2373,175.2373,175.1,175.13,42573.0,175.0775,175.1825,0,-0.12,1.025,0.7415157012860801,0.31620288,0,1,-175.198,-0.12,Hold,0,-1.145
2025-06-18 17:07:00,175.1198,175.16,174.99,175.16,72304.0,175.1075,175.2125,0,-0.09,1.025,0.7424254761677946,0.31718633,0,1,-175.198,-0.09,Hold,0,-1.115
2025-06-18 17:08:00,175.14,175.32,175.11,175.305,29208.0,175.2524,175.3576,0,0.055,1.026,0.7407904311652771,0.31000274,0,1,-175.198,0.055,Hold,0,-0.971
2025-06-18 17:09:00,175.31,175.35,175.28,175.3,17273.0,175.2474,175.3526,0,0.05,1.026,0.7392294672513516,0.3085593,0,1,-175.198,0.05,Hold,0,-0.976
2025-06-18 17:10:00,175.3018,175.355,175.3,175.31,34745.0,175.2574,175.3626,0,0.06,1.026,0.7345178697792362,0.30689102,0,1,-175.198,0.06,Hold,0,-0.966
2025-06-18 17:11:00,175.305,175.3848,175.26,175.3013,56457.0,175.2487,175.3539,0,0.051,1.025,0.7304949472292948,0.2997764,0,1,-175.198,0.051,Hold,0,-0.974
2025-06-18 17:12:00,175.3,175.4,175.29,175.4,25245.0,175.3474,175.4526,0,0.15,1.026,0.7226668615341242,0.28458273,0,1,-175.198,0.15,Hold,0,-0.876
2025-06-18 17:13:00,175.4,175.4569,175.385,175.39,18191.0,175.3374,175.4426,0,0.14,1.026,0.7172548594082246,0.27831978,0,1,-175.198,0.14,Hold,0,-0.886
2025-06-18 17:14:00,175.4,175.423,175.33,175.3397,15791.0,175.2871,175.3923,0,0.09,1.026,0.7124685250090331,0.27735123,0,1,-175.198,0.09,Hold,0,-0.936
2025-06-18 17:15:00,175.33,175.34,175.28,175.3,20101.0,175.2474,175.3526,0,0.05,1.026,0.7080699417308678,0.27181727,0,1,-175.198,0.05,Hold,0,-0.976
